feature                   log-likelihood  sense        
Stern                     4.01657         product        
Sales                     4.01657         product        
two-year-old              4.01657         product        
Grand                     4.01657         product        
Prix                      4.01657         product        
coupe                     4.01657         product        
ends                      4.01657         product        
Pontiac                   4.01657         product        
appears                   4.01657         product        
segments                  4.01657         product        
personal-computer         4.01657         product        
Macintosh                 4.01657         product        
workstation               4.01657         product        
Telegraph                 4.01657         product        
relationship              4.01657         product        
complicate                4.01657         product        
marketed                  4.01657         product        
soon                      4.01657         product        
Conservatives             4.01657         phone          
suspect                   4.01657         phone          
actually                  4.01657         phone          
spending                  4.01657         phone          
People                    4.01657         phone          
Way                       4.01657         phone          
volunteers                4.01657         phone          
headquarters              4.01657         phone          
urging                    4.01657         phone          
members                   4.01657         phone          
Alabama                   4.01657         phone          
Arizona                   4.01657         phone          
Sens                      4.01657         phone          
February                  4.01657         product        
Ford                      4.01657         product        
resorted                  4.01657         product        
diverting                 4.01657         product        
amusement                 4.01657         product        
park                      4.01657         product        
Lorain                    4.01657         product        
factory                   4.01657         product        
profit                    4.01657         product        
RJR                       4.01657         product        
sparked                   4.01657         product        
gains                     4.01657         product        
cookie                    4.01657         product        
cracker                   4.01657         product        
grocery                   4.01657         product        
Toshiba                   4.01657         product        
focused                   4.01657         product        
neglecting                4.01657         product        
NEC                       4.01657         product        
Hitachi                   4.01657         product        
memory                    4.01657         product        
dropping                  4.01657         product        
reason                    4.01657         phone          
reportedly                4.01657         phone          
tapping                   4.01657         phone          
security                  4.01657         phone          
concerns                  4.01657         phone          
allegedly                 4.01657         phone          
tapped                    4.01657         phone          
filed                     4.01657         phone          
suits                     4.01657         phone          
"Through                  4.01657         phone          
conferencing              4.01657         phone          
interact                  4.01657         phone          
community                 4.01657         phone          
Ms                        4.01657         phone          
Superfon                  4.01657         phone          
soothing                  4.01657         phone          
Fresno                    4.01657         phone          
Calif                     4.01657         phone          
talked                    4.01657         phone          
deranged                  4.01657         phone          
Vietnam                   4.01657         phone          
veteran                   4.01657         phone          
killing                   4.01657         phone          
himself                   4.01657         phone          
Actually                  4.01657         phone          
imagine                   4.01657         phone          
aged                      4.01657         phone          
suicidal                  4.01657         phone          
comfort                   4.01657         phone          
test;                     4.01657         product        
studio                    4.01657         product        
rejected                  4.01657         product        
Cockney                   4.01657         product        
accent                    4.01657         product        
"bowlegs"                 4.01657         product        
"thick                    4.01657         product        
neck                      4.01657         product        
Yet                       4.01657         product        
became                    4.01657         product        
flagship                  4.01657         product        
Hollywood                 4.01657         product        
dreamboat                 4.01657         product        
permitted                 4.01657         phone          
bids                      4.01657         product        
Becor                     4.01657         product        
century-old               4.01657         product        
Rust                      4.01657         product        
Belt                      4.01657         product        
fixture                   4.01657         product        
Wis                       4.01657         product        
excavation                4.01657         product        
regarded                  4.01657         product        
suitors                   4.01657         product        
bias                      4.01657         product        
passenger                 4.01657         product        
radial                    4.01657         product        
layoff                    4.01657         product        
pursuing                  4.01657         product        
breakfast-eaters          4.01657         product        
keeping                   4.01657         phone          
Armonk                    4.01657         product        
midrange                  4.01657         product        
elaborate                 4.01657         product        
announce                  4.01657         product        
AS/                       4.01657         product        
upgrade                   4.01657         product        
System                    4.01657         product        
Menswear                  4.01657         product        
fine                      4.01657         product        
Frain                     4.01657         product        
retail                    4.01657         product        
Parker                    4.01657         product        
spinoffs                  4.01657         product        
CooperVision              4.01657         product        
"help                     4.01657         product        
maximize                  4.01657         product        
eye-care                  4.01657         product        
NCR                       4.01657         product        
minicomputers             4.01657         product        
linking                   4.01657         product        
Margeotes                 4.01657         product        
clients                   4.01657         product        
Godiva                    4.01657         product        
Maccabee                  4.01657         product        
beer                      4.01657         product        
string                    4.01657         product        
ad                        4.01657         product        
accounts                  4.01657         product        
Haagen-Dazs               4.01657         product        
Newsday                   4.01657         product        
jewelry                   4.01657         product        
Crystal                   4.01657         product        
Eddie                     4.01657         phone          
Foley                     4.01657         phone          
Wolverine                 4.01657         product        
attributable              4.01657         product        
consolidation             4.01657         product        
Gleason                   4.01657         product        
turnaround                4.01657         product        
led                       4.01657         product        
Midwest                   4.01657         product        
shoe                      4.01657         product        
factories                 4.01657         product        
Kaepa                     4.01657         product        
athletic                  4.01657         product        
management                4.01657         product        
linen                     4.01657         product        
risk                      4.01657         product        
XT                        4.01657         product        
becoming                  4.01657         product        
orphans                   4.01657         product        
XT-compatible             4.01657         product        
competing                 4.01657         product        
Sun                       4.01657         product        
competitively             4.01657         product        
changeover                4.01657         product        
Doraville                 4.01657         product        
Ga                        4.01657         product        
output                    4.01657         product        
mid-size                  4.01657         product        
spokeswoman               4.01657         product        
news                      4.01657         phone          
trade                     4.01657         phone          
flooding                  4.01657         phone          
Kings                     4.01657         phone          
box                       4.01657         phone          
here                      4.01657         phone          
hungry                    4.01657         phone          
Software                  4.01657         product        
Fred                      4.01657         product        
M                         4.01657         product        
Gibbons                   4.01657         product        
said:                     4.01657         product        
continued                 4.01657         product        
strength                  4.01657         product        
Harvard                   4.01657         product        
Graphics                  4.01657         product        
First                     4.01657         product        
Choice                    4.01657         product        
pacing                    4.01657         product        
advance                   4.01657         product        
switchboards              4.01657         phone          
track                     4.01657         phone          
Galant                    4.01657         product        
Mirage                    4.01657         product        
point                     4.01657         phone          
Keenan                    4.01657         phone          
check                     4.01657         phone          
exactly                   4.01657         phone          
reposed                   4.01657         phone          
Eppler                    4.01657         phone          
Guerin                    4.01657         phone          
Amiga                     4.01657         product        
edged                     4.01657         product        
Hewlett-Packard           4.01657         product        
attempts                  4.01657         product        
refit                     4.01657         product        
architecture              4.01657         product        
Spectrum                  4.01657         product        
Picture                   4.01657         phone          
hundreds                  4.01657         phone          
sitting                   4.01657         phone          
standing                  4.01657         phone          
consoles                  4.01657         phone          
flashing                  4.01657         phone          
screens                   4.01657         phone          
handsets                  4.01657         phone          
Daniel                    4.01657         product        
Benton                    4.01657         product        
Insilco                   4.01657         product        
sees                      4.01657         product        
cash                      4.01657         product        
"good                     4.01657         product        
clinching                 4.01657         product        
"different                4.01657         product        
glasses                   4.01657         product        
boating                   4.01657         product        
skiing                    4.01657         product        
marketer                  4.01657         product        
Allegra                   4.01657         product        
Ziari                     4.01657         product        
sunglasses                4.01657         product        
Mark                      4.01657         phone          
Systems                   4.01657         phone          
Plainview                 4.01657         phone          
CIP                       4.01657         phone          
Interface                 4.01657         phone          
Processor                 4.01657         phone          
turnkey                   4.01657         phone          
enables                   4.01657         phone          
multiplexing              4.01657         phone          
speed                     4.01657         phone          
modification              4.01657         phone          
Consisting                4.01657         phone          
processor                 4.01657         phone          
ROM                       4.01657         phone          
demultiplexing            4.01657         phone          
OS                        4.01657         phone          
compatibility             4.01657         phone          
interface                 4.01657         phone          
adapters                  4.01657         phone          
takes                     4.01657         phone          
care                      4.01657         phone          
conversion                4.01657         phone          
maintenance               4.01657         phone          
monitoring                4.01657         phone          
supports                  4.01657         phone          
multiplexors              4.01657         phone          
duplex                    4.01657         phone          
grade                     4.01657         phone          
baud                      4.01657         phone          
ceiling                   4.01657         phone          
determined                4.01657         phone          
channels                  4.01657         phone          
addressable               4.01657         phone          
Prospects                 4.01657         phone          
modernizing               4.01657         phone          
Jiangsu                   4.01657         phone          
antiquated                4.01657         phone          
dimmed                    4.01657         phone          
province                  4.01657         phone          
population                4.01657         phone          
surpasses                 4.01657         phone          
acquistions               4.01657         product        
broadly                   4.01657         product        
supplement                4.01657         product        
Minute                    4.01657         product        
Maid                      4.01657         product        
chilled                   4.01657         product        
"this                     4.01657         product        
(growth)                  4.01657         product        
follow                    4.01657         product        
particular                4.01657         product        
Xerox                     4.01657         product        
cost-cutting              4.01657         product        
office-equipment          4.01657         product        
Epson                     4.01657         product        
immediate                 4.01657         product        
tighter                   4.01657         product        
approach                  4.01657         product        
Blue                      4.01657         product        
restricting               4.01657         product        
totaling                  4.01657         product        
authorized                4.01657         product        
newest                    4.01657         product        
highest-priced            4.01657         product        
creating                  4.01657         product        
class                     4.01657         product        
retailer                  4.01657         product        
soft-pedal                4.01657         product        
scattering                4.01657         product        
window                    4.01657         product        
sticker                   4.01657         product        
ending                    4.01657         product        
middle-of-the-lineup      4.01657         product        
Consider                  4.01657         product        
soon-to-be-introduced     4.01657         product        
high-volume               4.01657         product        
credit                    4.01657         product        
capital                   4.01657         product        
extends                   4.01657         product        
expired                   4.01657         product        
Jan                       4.01657         product        
Technology                4.01657         product        
needed                    4.01657         product        
negotiate                 4.01657         product        
receives                  4.01657         product        
discontinued              4.01657         product        
long-awaited              4.01657         product        
bit                       4.01657         product        
one-time                  4.01657         product        
after-tax                 4.01657         product        
-store                    4.01657         product        
Lloyd                     4.01657         product        
home-improvement          4.01657         product        
pickup                    4.01657         product        
hope                      4.01657         phone          
ISAL                      4.01657         phone          
abolished                 4.01657         phone          
semantic                  4.01657         phone          
Bureau                    4.01657         phone          
Investigation             4.01657         phone          
agents                    4.01657         phone          
probing                   4.01657         phone          
Iran-Contra               4.01657         phone          
affair                    4.01657         phone          
assigned                  4.01657         phone          
"secure"                  4.01657         phone          
bugged                    4.01657         phone          
branch                    4.01657         phone          
exchanges                 4.01657         phone          
Dataquest                 4.01657         phone          
Jose                      4.01657         phone          
Techknits                 4.01657         product        
Denton                    4.01657         product        
Mills                     4.01657         product        
Dr                        4.01657         product        
sweaters                  4.01657         product        
infants                   4.01657         product        
toddlers                  4.01657         product        
"Their                    4.01657         product        
claims                    4.01657         product        
merit                     4.01657         product        
Stephen                   4.01657         product        
Shank                     4.01657         product        
concerned                 4.01657         product        
booths                    4.01657         phone          
ear                       4.01657         phone          
probably                  4.01657         phone          
horse                     4.01657         phone          
bookie                    4.01657         phone          
Hospital                  4.01657         phone          
ringing                   4.01657         phone          
storage                   4.01657         product        
permit                    4.01657         product        
military                  4.01657         product        
plummeted                 4.01657         product        
Less                      4.01657         product        
importing                 4.01657         product        
survive                   4.01657         product        
bracing                   4.01657         product        
Top-Shelf                 4.01657         product        
microwavable              4.01657         product        
grocery-store             4.01657         product        
shelves                   4.01657         product        
freezing                  4.01657         product        
Chicken                   4.01657         product        
batteries                 4.01657         product        
gearing                   4.01657         product        
Kodak                     4.01657         product        
Japanese-made             4.01657         product        
alkaline                  4.01657         product        
Industry                  4.01657         product        
accords                   4.01657         product        
intelligent               4.01657         product        
coming                    4.01657         product        
desktop-publishing        4.01657         product        
package                   4.01657         product        
printer                   4.01657         product        
circuit                   4.01657         product        
card                      4.01657         product        
"mouse"                   4.01657         product        
pointing                  4.01657         product        
device                    4.01657         product        
Aldus                     4.01657         product        
PageMaker                 4.01657         product        
negligible                4.01657         product        
chemicals                 4.01657         product        
pharmaceuticals           4.01657         product        
fibers                    4.01657         product        
Over                      4.01657         product        
Union                     4.01657         product        
Carbide                   4.01657         product        
Imperial                  4.01657         product        
Chemical                  4.01657         product        
Avon                      4.01657         product        
gift                      4.01657         product        
contemporary"             4.01657         product        
revamped                  4.01657         product        
lipstick                  4.01657         product        
nail-polish               4.01657         product        
Standish                  4.01657         phone          
emended                   4.01657         phone          
proof                     4.01657         phone          
sheet                     4.01657         phone          
left                      4.01657         phone          
Goodman                   4.01657         phone          
hung                      4.01657         phone          
immediately               4.01657         phone          
C                         4.01657         phone          
Staley                    4.01657         phone          
although                  4.01657         phone          
"slowed                   4.01657         phone          
somewhat                  4.01657         phone          
due                       4.01657         phone          
bedroom                   4.01657         product        
bath                      4.01657         product        
bearing                   4.01657         product        
Stewart                   4.01657         product        
doll                      4.01657         product        
Davy                      4.01657         product        
Alexandria                4.01657         product        
Va                        4.01657         product        
Granny                    4.01657         product        
Place                     4.01657         product        
Playmobile                4.01657         product        
plastic                   4.01657         product        
pre-school                4.01657         product        
Germany                   4.01657         product        
walking                   4.01657         product        
owner                     4.01657         product        
Rodger                    4.01657         product        
engines                   4.01657         product        
partially                 4.01657         product        
lower-cost                4.01657         product        
freely                    4.01657         product        
allowed                   4.01657         product        
copy                      4.01657         product        
face                      4.01657         product        
ate                       4.01657         product        
indicated                 4.01657         product        
guard                     4.01657         product        
inventions                4.01657         product        
Public                    4.01657         phone          
Employees                 4.01657         phone          
Federation                4.01657         phone          
pilot                     4.01657         phone          
evening-shift             4.01657         phone          
day-care                  4.01657         phone          
yet-to-be-ratified        4.01657         phone          
pact                      4.01657         phone          
LATCHKEY                  4.01657         phone          
KIDS                      4.01657         phone          
Whirlpool                 4.01657         phone          
appealing                 4.01657         phone          
appliances                4.01657         phone          
conducted                 4.01657         phone          
survey                    4.01657         phone          
school-age                4.01657         phone          
kids                      4.01657         phone          
Feb                       4.01657         product        
representing              4.01657         product        
Kelly                     4.01657         product        
assume                    4.01657         product        
gradually                 4.01657         product        
conglomerate              4.01657         product        
loved                     4.01657         phone          
counting                  4.01657         phone          
hui                       4.01657         phone          
matter                    4.01657         phone          
son                       4.01657         phone          
sentence                  4.01657         phone          
private-                  4.01657         phone          
Centrex                   4.01657         phone          
reduce                    4.01657         phone          
highest                   4.01657         phone          
second-quarter            4.01657         phone          
Baby                      4.01657         phone          
Bells                     4.01657         phone          
listen                    4.01657         phone          
household                 4.01657         phone          
neither                   4.01657         phone          
incoming                  4.01657         phone          
nor                       4.01657         phone          
Ring                      4.01657         phone          
Master                    4.01657         phone          
promote                   4.01657         phone          
alternative               4.01657         phone          
monthly                   4.01657         phone          
totals                    4.01657         phone          
depending                 4.01657         phone          
geographical              4.01657         phone          
tap                       4.01657         product        
embryonic                 4.01657         product        
traditionally             4.01657         product        
hard-to-reach             4.01657         product        
aluminum                  4.01657         product        
reorganizing              4.01657         product        
European                  4.01657         product        
Reynolds                  4.01657         product        
beef                      4.01657         product        
consumer-products         4.01657         product        
foil                      4.01657         product        
Cheerful                  4.01657         phone          
Zytel                     4.01657         product        
nylon                     4.01657         product        
resins                    4.01657         product        
Uentrop                   4.01657         product        
patients                  4.01657         phone          
Information               4.01657         phone          
Age                       4.01657         phone          
advantage                 4.01657         phone          
kinds                     4.01657         phone          
checking                  4.01657         phone          
airline                   4.01657         phone          
schedules                 4.01657         phone          
baseball                  4.01657         phone          
scores                    4.01657         phone          
tracking                  4.01657         phone          
favorite                  4.01657         phone          
fifth                     4.01657         phone          
Kurzweil                  4.01657         product        
Waltham                   4.01657         product        
digital                   4.01657         product        
electronic                4.01657         product        
keyboard                  4.01657         product        
instruments               4.01657         product        
professional              4.01657         product        
musicians                 4.01657         product        
drop                      4.01657         phone          
clipboards                4.01657         phone          
